step,fl_shoulder_joint_rad,fr_shoulder_joint_rad,bl_shoulder_joint_rad,br_shoulder_joint_rad,fl_thigh_joint_rad,fr_thigh_joint_rad,bl_thigh_joint_rad,br_thigh_joint_rad,fl_calf_joint_rad,fr_calf_joint_rad,bl_calf_joint_rad,br_calf_joint_rad,fl_shoulder_joint_deg,fr_shoulder_joint_deg,bl_shoulder_joint_deg,br_shoulder_joint_deg,fl_thigh_joint_deg,fr_thigh_joint_deg,bl_thigh_joint_deg,br_thigh_joint_deg,fl_calf_joint_deg,fr_calf_joint_deg,bl_calf_joint_deg,br_calf_joint_deg,fl_shoulder_joint_servo,fr_shoulder_joint_servo,bl_shoulder_joint_servo,br_shoulder_joint_servo,fl_thigh_joint_servo,fr_thigh_joint_servo,bl_thigh_joint_servo,br_thigh_joint_servo,fl_calf_joint_servo,fr_calf_joint_servo,bl_calf_joint_servo,br_calf_joint_servo
0,0.056770,-0.300000,-0.300000,0.131093,0.130061,-1.200000,-1.200000,-0.824030,1.570796,-0.150000,-0.150000,-0.150000,3.253,-17.189,-17.189,7.511,7.452,-68.755,-68.755,-47.213,90.000,-8.594,-8.594,-8.594,2084.0,1851.4,1851.4,1961.5,1962.2,2829.3,1264.7,1509.8,3071.0,2144.8,2144.8,2144.8
1,0.179915,-0.091332,-0.300000,-0.115678,-0.155558,-1.200000,-0.657363,-0.445508,1.526965,-0.020232,-0.150000,0.028109,10.308,-5.233,-17.189,-6.628,-8.913,-68.755,-37.664,-25.526,87.489,-1.159,-8.594,1.611,2164.3,1987.5,1851.4,2122.4,2148.4,2829.3,1618.5,1756.6,3042.4,2060.2,2144.8,2028.7
2,0.300000,0.300000,-0.300000,0.300000,-0.122016,-0.534849,0.169479,-0.682160,0.137536,0.138542,-0.054685,-0.150000,17.189,17.189,-17.189,17.189,-6.991,-30.645,9.710,-39.085,7.880,7.938,-3.133,-8.594,2242.6,2242.6,1851.4,1851.4,2126.5,2395.7,2157.5,1602.3,2136.7,1956.7,2082.6,2144.8
3,0.300000,0.300000,-0.300000,0.300000,0.116569,-0.487448,0.219990,-0.259659,0.057365,0.498471,0.152810,-0.150000,17.189,17.189,-17.189,17.189,6.679,-27.929,12.605,-14.877,3.287,28.560,8.755,-8.594,2242.6,2242.6,1851.4,1851.4,1971.0,2364.8,2190.4,1877.7,2084.4,1722.0,1947.4,2144.8
4,0.300000,0.300000,-0.300000,0.300000,0.538115,-0.890565,0.221365,0.072602,0.047948,0.096766,-0.147825,-0.092793,17.189,17.189,-17.189,17.189,30.832,-51.026,12.683,4.160,2.747,5.544,-8.470,-5.317,2242.6,2242.6,1851.4,1851.4,1696.2,2627.6,2191.3,2094.3,2078.3,1983.9,2143.4,2107.5
5,0.299881,-0.069064,-0.300000,0.219035,0.600000,-1.200000,0.147819,0.600000,0.100934,0.437786,-0.148502,-0.126099,17.182,-3.957,-17.189,12.550,34.377,-68.755,8.469,34.377,5.783,25.083,-8.509,-7.225,2242.5,2002.0,1851.4,1904.2,1655.9,2829.3,2143.4,2438.1,2112.8,1761.6,2143.8,2129.2
6,0.292350,-0.266453,-0.300000,-0.034813,0.600000,-1.200000,0.483930,0.600000,-0.150000,1.412384,-0.135500,0.487076,16.750,-15.267,-17.189,-1.995,34.377,-68.755,27.727,34.377,-8.594,80.924,-7.764,27.907,2237.6,1873.3,1851.4,2069.7,1655.9,2829.3,2362.5,2438.1,1949.2,1126.3,2135.3,1729.5
7,-0.300000,-0.300000,0.149592,0.300000,0.470424,-0.870892,-0.090140,0.500398,0.913900,1.570796,-0.150000,0.622413,-17.189,-17.189,8.571,17.189,26.953,-49.898,-5.165,28.671,52.363,90.000,-8.594,35.662,1851.4,1851.4,2144.5,1851.4,1740.3,2614.7,1988.2,2373.2,2642.8,1023.0,2144.8,1641.2
8,-0.300000,-0.300000,0.300000,-0.206023,-0.799669,-0.602470,-1.200000,-1.200000,1.349484,0.558485,0.292108,0.045327,-17.189,-17.189,17.189,-11.804,-45.818,-34.519,-68.755,-68.755,77.320,31.999,16.737,2.597,1851.4,1851.4,2242.6,2181.3,2568.3,2439.7,1264.7,1264.7,2926.7,1682.9,1856.6,2017.5
9,-0.300000,-0.300000,0.300000,0.210882,-0.367712,-0.525993,-1.200000,-0.323997,0.633579,0.771395,0.509971,1.129279,-17.189,-17.189,17.189,12.083,-21.068,-30.137,-68.755,-18.564,36.301,44.198,29.219,64.703,1851.4,1851.4,2242.6,1909.5,2286.7,2389.9,1264.7,1835.8,2460.0,1544.1,1714.6,1310.8
