Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,0.17399,-0.0072178,0.011599,0,0,0,0.19944,0.00016185,-5.2204E-08,1.0475E-18,0.00054277,5.3474E-18,0.00038654,0,0,0,0,0,0,package://Full Body.SLDASM/meshes/body.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Full Body.SLDASM/meshes/body.STL,,body middle front left-1;body middle front right-1;body middle back left-2;body middle back right-1;body front-1;body back-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_shoulder,-0.069531,-0.05822,-0.029382,0,0,0,0.10612,6.9045E-05,3.7441E-08,-3.6654E-07,3.437E-05,1.7802E-08,8.4534E-05,0,0,0,0,0,0,package://Full Body.SLDASM/meshes/front_left_shoulder.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Full Body.SLDASM/meshes/front_left_shoulder.STL,,L Leg V2-2/L shoulder connector arm-1;L Leg V2-2/L shoulder bottom-1;L Leg V2-2/servo-2;L Leg V2-2/L shoulder top-1;L Leg V2-2/Ball Bearing-2,Origin_front_left_shoulder_joint,Axis_front_left_shoulder_joint,front_left_shoulder_joint,revolute,0.36601,0.030456,0.011371,-1.5708,-0.0034161,1.5708,body,0,0,1,0,0,0,0,,,,,,,,
front_left_thigh,-0.030997,0.063607,-0.071235,0,0,0,0.092156,3.9451E-05,-2.4188E-05,-1.2087E-05,9.4452E-05,3.9038E-06,8.3958E-05,0,0,0,0,0,0,package://Full Body.SLDASM/meshes/front_left_thigh.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Full Body.SLDASM/meshes/front_left_thigh.STL,,L Leg V2-2/L thigh top-1;L Leg V2-2/L thigh bottom-1;L Leg V2-2/Ball Bearing-3;L Leg V2-2/servo-3,Origin_front_left_thigh_joint,Axis_front_left_thigh_joint,front_left_thigh_joint,revolute,0,0,-0.00862363122624432,-1.95295163559476,0,0,front_left_shoulder,0,0.927863031055594,0.372921165396021,0,0,0,0,,,,,,,,
front_left_knee,-0.0494712889569819,0.0239070954154987,-0.108430571081441,0,0,0,0.0741258107469356,3.18790252022645E-05,1.97729847666191E-05,1.74972772015769E-05,5.04816804602454E-05,-6.96245148390364E-06,5.24239804537086E-05,0,0,0,0,0,0,package://Full Body.SLDASM/meshes/front_left_knee.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full Body.SLDASM/meshes/front_left_knee.STL,,L Leg V2-2/L knee top-1;L Leg V2-2/L knee bottom-1;L Leg V2-2/Ball Bearing-1;L Leg V2-2/servo-1,Origin_front_left_knee_joint,Axis_front_left_knee_joint,front_left_knee_joint,revolute,0,-0.0117307602622488,0.00606269570371937,-1.09443677842984,0,-3.14159265358979,front_left_thigh,0,0.75687276465301,0.65356225267874,0,0,0,0,,,,,,,,
front_right_shoulder,0.025194,0.056428,-0.029382,0,0,0,0.10612,6.8976E-05,-1.5483E-06,-3.6697E-07,3.444E-05,-1.7974E-09,8.4534E-05,0,0,0,0,0,0,package://Full Body.SLDASM/meshes/front_right_shoulder.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Full Body.SLDASM/meshes/front_right_shoulder.STL,,R Leg V2-2/R shoulder connector arm-1;R Leg V2-2/R shoulder top-1;R Leg V2-2/servo-2;R Leg V2-2/R shoulder bottom-1;R Leg V2-2/Ball Bearing-2,Origin_front_right_shoulder_joint,Axis_front_right_shoulder_joint,front_right_shoulder_joint,revolute,0.36601,-0.061544,0.011371,-1.5708,0.052314,1.5708,body,0,0,1,0,0,0,0,,,,,,,,
front_right_thigh,0.0637605706827707,-0.00814234205089392,0.0934181530420835,0,0,0,0.0921564007333959,4.59241360429781E-05,-3.01320391050131E-05,-1.17608781695421E-05,8.59200793077752E-05,4.27222084087318E-06,8.60172093927408E-05,0,0,0,0,0,0,package://Full Body.SLDASM/meshes/front_right_thigh.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full Body.SLDASM/meshes/front_right_thigh.STL,,R Leg V2-2/R thigh top-1;R Leg V2-2/R thigh bottom-1;R Leg V2-2/servo-3;R Leg V2-2/Ball Bearing-3,Origin_front_right_thigh_joint,Axis_front_right_thigh_joint,front_right_thigh_joint,revolute,0,0,-0.00738542988082108,-2.05769527388425,0,0,front_right_shoulder,0,0.883788049564914,0.467887468785225,0,0,0,0,,,,,,,,
front_right_knee,0.141993017305764,0.099108301521659,0.0271036200926005,0,0,0,0.0741256904707244,2.81491328969834E-05,2.1191560053683E-05,-1.36755674405465E-05,5.07658122982971E-05,4.53396108301155E-06,5.58687393116714E-05,0,0,0,0,0,0,package://Full Body.SLDASM/meshes/front_right_knee.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full Body.SLDASM/meshes/front_right_knee.STL,,R Leg V2-2/R knee bottom-1;R Leg V2-2/R knee top-1;R Leg V2-2/Ball Bearing-1;R Leg V2-2/servo-1,Origin_front_right_knee_joint,Axis_front_right_knee_joint,front_right_knee_joint,revolute,0,-0.00652715466956932,-0.00345555009282814,1.12536795037729,0,0,front_right_thigh,0,0.803009121747932,-0.595966735975772,0,0,0,0,,,,,,,,
back_left_shoulder,-0.0686209275088679,-0.0591199587315326,0.0231183905956362,0,0,0,0.106117445820718,6.90447854085146E-05,3.74414577353296E-08,-3.66537660793294E-07,3.43703994691664E-05,1.78024545548862E-08,8.45335274007001E-05,0,0,0,0,0,0,package://Full Body.SLDASM/meshes/back_left_shoulder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full Body.SLDASM/meshes/back_left_shoulder.STL,,L Leg V2-1/L shoulder connector arm-1;L Leg V2-1/L shoulder top-1;L Leg V2-1/L shoulder bottom-1;L Leg V2-1/servo-2;L Leg V2-1/Ball Bearing-2,Origin_back_left_shoulder_joint,Axis_back_left_shoulder_joint,back_left_shoulder_joint,revolute,-0.018486,0.030456,0.010121,-1.5708,0.0038623,1.5708,body,0,0,1,0,0,0,0,,,,,,,,
back_left_thigh,-0.0300876967050007,-0.00686730817622022,-0.100530094100525,0,0,0,0.0921564007333958,3.94514941041889E-05,-2.41875457608833E-05,-1.20868867168731E-05,9.44515990938333E-05,3.90382054927565E-06,8.39583315454717E-05,0,0,0,0,0,0,package://Full Body.SLDASM/meshes/back_left_thigh.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full Body.SLDASM/meshes/back_left_thigh.STL,,L Leg V2-1/L thigh top-1;L Leg V2-1/L thigh bottom-1;L Leg V2-1/Ball Bearing-3;L Leg V2-1/servo-3,Origin_back_left_thigh_joint,Axis_back_left_thigh_joint,back_left_thigh_joint,revolute,0,0,-0.0324392736593958,-1.95295163559476,0,0,back_left_shoulder,0,0.927863031055593,0.372921165396022,0,0,0,0,,,,,,,,
back_left_knee,0.0503809805649433,-0.0822480041511203,-0.0460300485488428,0,0,0,0.0741258082028949,3.18790426763093E-05,1.97729603917105E-05,-1.74972544914311E-05,5.04816838488345E-05,6.96246018310675E-06,5.24239863649634E-05,0,0,0,0,0,0,package://Full Body.SLDASM/meshes/back_left_knee.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Full Body.SLDASM/meshes/back_left_knee.STL,,L Leg V2-1/L knee bottom-1;L Leg V2-1/L knee top-1;L Leg V2-1/Ball Bearing-1;L Leg V2-1/servo-1,Origin_back_left_knee_joint,Axis_back_left_knee_joint,back_left_knee_joint,revolute,0,0,0,1.09443677842984,0,0,back_left_thigh,0,0.756872764653014,-0.653562252678735,0,0,0,0,,,,,,,,
