Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body,0.00050571,3.9206E-05,0.0065559,0,0,0,0.65516,0.00044925,-1.5776E-19,5.9638E-06,0.00095612,-8.2942E-21,0.0013524,0,0,0,0,0,0,package://Harold_URDF_Export/meshes/Body.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Harold_URDF_Export/meshes/Body.STL,,body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fl_shoulder,0.0226268804239232,0.0030897878880634,0.0167231448134229,0,0,0,0.0776965557993418,2.79526765081768E-05,3.38551705773399E-08,-3.29296835159999E-07,2.60079742804999E-05,7.98874235426913E-07,2.03318316394635E-05,0,0,0,0,0,0,package://Harold_URDF_Export/meshes/fl_shoulder.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Harold_URDF_Export/meshes/fl_shoulder.STL,,left_shoulder-1,Origin_fl_shoulder_joint,Axis_fl_shoulder_joint,fl_shoulder_joint,revolute,0.185,-0.0175,0.04805,1.5708,0,0,Body,1,0,0,0,0,0,0,,,,,,,,
fl_thigh,-0.00156528908759812,0.0293750339010572,-0.0302869631953187,0,0,0,0.0916515025957822,7.00348282018167E-05,4.3643577382981E-07,3.01230962502562E-06,6.1177847345146E-05,-7.35240616345447E-06,2.10701031177544E-05,0,0,0,0,0,0,package://Harold_URDF_Export/meshes/fl_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Harold_URDF_Export/meshes/fl_thigh.STL,,left_thigh-1,Origin_fl_thigh_joint,Axis_fl_thigh_joint,fl_thigh_joint,revolute,0.023,0.0101,0.011125,0,0,0,fl_shoulder,0,1,0,0,0,0,0,,,,,,,,
fl_calf,0.00237381613529569,0.022686943617349,-0.0344454986164686,0,0,0,0.0864459183664809,0.000124573461358573,-3.33117687660504E-08,-3.59480722131373E-06,0.000119866124097027,4.24915357894337E-07,1.48777935696697E-05,0,0,0,0,0,0,package://Harold_URDF_Export/meshes/fl_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Harold_URDF_Export/meshes/fl_calf.STL,,left_calf-1,Origin_fl_calf_joint,Axis_fl_calf_joint,fl_calf_joint,revolute,-0.0025,0.005,-0.10288,0,0,0,fl_thigh,0,1,0,0,0,0,0,,,,,,,,
fr_shoulder,0.022652843501191,-0.00308978788806342,0.016723144813423,0,0,0,0.0776965557993418,2.79526765081768E-05,-3.38551705773366E-08,-3.2929683516E-07,2.60079742804999E-05,-7.98874235426913E-07,2.03318316394634E-05,0,0,0,0,0,0,package://Harold_URDF_Export/meshes/fr_shoulder.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Harold_URDF_Export/meshes/fr_shoulder.STL,,right_shoulder-1,Origin_fr_shoulder_joint,Axis_fr_shoulder_joint,fr_shoulder_joint,revolute,0.185,-0.0175,-0.04795,1.5708,0,0,Body,1,0,0,0,0,0,0,,,,,,,,
fr_thigh,-0.00156528908759815,-0.0293750339010572,-0.0302869631953187,0,0,0,0.0916515025957821,7.00348282018167E-05,-4.36435773829806E-07,3.01230962502558E-06,6.1177847345146E-05,7.35240616345448E-06,2.10701031177544E-05,0,0,0,0,0,0,package://Harold_URDF_Export/meshes/fr_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Harold_URDF_Export/meshes/fr_thigh.STL,,right_thigh-1,Origin_fr_thigh_joint,Axis_fr_thigh_joint,fr_thigh_joint,revolute,0.0232,-0.0101,0.011125,0,0,0,fr_shoulder,0,1,0,0,0,0,0,,,,,,,,
fr_calf,0.00237381613529589,-0.0226869436158008,-0.0344454986164681,0,0,0,0.0864459183664809,0.000124573461358559,3.33117693448146E-08,-3.59480722131376E-06,0.000119866124097028,-4.24915350292352E-07,1.48777935696553E-05,0,0,0,0,0,0,package://Harold_URDF_Export/meshes/fr_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Harold_URDF_Export/meshes/fr_calf.STL,,right_calf-1,Origin_fr_calf_joint,Axis_fr_calf_joint,fr_calf_joint,revolute,-0.0025,-0.005,-0.10288,0,0,0,fr_thigh,0,1,0,0,0,0,0,,,,,,,,
bl_shoulder,-0.0229731195760767,0.00308978788806345,0.016723144813423,0,0,0,0.0776965557993418,2.79526765081768E-05,3.38551705773394E-08,-3.29296835160002E-07,2.60079742804999E-05,7.98874235426911E-07,2.03318316394635E-05,0,0,0,0,0,0,package://Harold_URDF_Export/meshes/bl_shoulder.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Harold_URDF_Export/meshes/bl_shoulder.STL,,left_shoulder-2,Origin_bl_shoulder_joint,Axis_bl_shoulder_joint,bl_shoulder_joint,revolute,-0.1854,-0.0175,0.048,1.5708,0,0,Body,1,0,0,0,0,0,0,,,,,,,,
bl_thigh,-0.0015652890875982,0.0293750339010572,-0.0302869631953187,0,0,0,0.0916515025957822,7.00348282018167E-05,4.3643577382981E-07,3.01230962502562E-06,6.1177847345146E-05,-7.35240616345448E-06,2.10701031177544E-05,0,0,0,0,0,0,package://Harold_URDF_Export/meshes/bl_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Harold_URDF_Export/meshes/bl_thigh.STL,,left_thigh-2,Origin_bl_thigh_joint,Axis_bl_thigh_joint,bl_thigh_joint,revolute,-0.0226,0.0101,0.011125,0,0,0,bl_shoulder,0,1,0,0,0,0,0,,,,,,,,
bl_calf,0.00237381613529564,0.022686943617349,-0.0344454986164682,0,0,0,0.0864459183664809,0.000124573461358573,-3.33117687660497E-08,-3.59480722131376E-06,0.000119866124097027,4.24915357894329E-07,1.48777935696697E-05,0,0,0,0,0,0,package://Harold_URDF_Export/meshes/bl_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Harold_URDF_Export/meshes/bl_calf.STL,,left_calf-2,Origin_bl_calf_joint,Axis_bl_calf_joint,bl_calf_joint,revolute,-0.0025,0.005,-0.10288,0,0,0,bl_thigh,0,1,0,0,0,0,0,,,,,,,,
